ref,species,yearstart,locality,dist_to_shore
pakhomov1996,scopelopsis multipunctatus,1994,southern ocean,1171200.9545351148
pakhomov1996,lampadena pontifex,1994,southern ocean,1171200.9545351148
pakhomov1996,symbolophorus evermanni,1994,southern ocean,1171200.9545351148
pakhomov1996,symbolophorus barnardi,1994,southern ocean,1171200.9545351148
pakhomov1996,benthosema suborbitale,1994,southern ocean,1171200.9545351148
pakhomov1996,lampanyctus alatus,1994,southern ocean,1171200.9545351148
pakhomov1996,gymnoscopelus microlampas,1994,southern ocean,1171200.9545351148
pakhomov1996,lampanyctus pusillus,1994,southern ocean,1171200.9545351148
pakhomov1996,diaphus leutkeni,1994,southern ocean,1171200.9545351148
pakhomov1996,protomyctophum luciferum,1994,southern ocean,1171200.9545351148
pakhomov1996,diaphus meadi,1994,southern ocean,1171200.9545351148
pakhomov1996,lampanyctus australis,1994,southern ocean,1171200.9545351148
pakhomov1996,lobianchia dofleini,1994,southern ocean,1171200.9545351148
pakhomov1996,hygophum hanseni,1994,southern ocean,1171200.9545351148
pakhomov1996,electrona subaspera,1994,southern ocean,1171200.9545351148
pakhomov1996,diaphus hudsoni,1994,southern ocean,1171200.9545351148
pakhomov1996,protomyctophum andriashevi,1994,southern ocean,1171200.9545351148
pakhomov1996,kreffichthys anderssoni,1994,southern ocean,1171200.9545351148
pakhomov1996,protomyctophum normani,1994,southern ocean,1171200.9545351148
pakhomov1996,metelectrona herwigi,1994,southern ocean,1171200.9545351148
pakhomov1996,notoscopelus resplendens,1994,southern ocean,1171200.9545351148
pakhomov1996,protomyctophum bolini,1994,southern ocean,1171200.9545351148
pakhomov1996,diaphus taaningi,1994,southern ocean,1171200.9545351148
pakhomov1996,electrona paucirastra,1994,southern ocean,1171200.9545351148
pakhomov1996,diaphus effulgens,1994,southern ocean,1171200.9545351148
pakhomov1996,ceratoscopelus warmingii,1994,southern ocean,1171200.9545351148
pakhomov1996,protomyctophum choriodon,1994,southern ocean,1171200.9545351148
pakhomov1996,electrona antarctica,1994,southern ocean,1171200.9545351148
pakhomov1996,symbolophorus boops,1994,southern ocean,1171200.9545351148
pakhomov1996,gymnoscopelus bolini,1994,southern ocean,1171200.9545351148
pakhomov1996,gymnoscopelus nicholsi,1994,southern ocean,1171200.9545351148
pakhomov1996,gymnoscopelus opisthopterus,1994,southern ocean,1171200.9545351148
pearcy1979,stenobrachius leucopsarus,1972,us,121020.4021826331
podraxhanskaya1993,protomyctophum arcticum,1983,canada,647494.0581340735
podraxhanskaya1993,hygophum benoiti,1983,canada,647494.0581340735
podraxhanskaya1993,benthosema glaciale,1983,canada,647494.0581340735
podraxhanskaya1993,diaphus rafinesquii,1983,canada,647494.0581340735
podraxhanskaya1993,ceratoscopelus maderennsis,1983,canada,647494.0581340735
podraxhanskaya1993,electrona risso,1983,canada,647494.0581340735
podraxhanskaya1993,myctophum punctatum,1983,canada,647494.0581340735
podraxhanskaya1993,notoscopelus bolini,1983,canada,647494.0581340735
podraxhanskaya1993,lobianchia dofleini,1983,canada,647494.0581340735
podraxhanskaya1993,symbolophorus veranyi,1983,canada,647494.0581340735
podraxhanskaya1993,notoscopelus elongatus,1983,canada,647494.0581340735
pusch2004,lobianchia dofleini,1998,morrocco,868674.7465182008
pusch2004,hygophum hygomii,1998,morrocco,868674.7465182008
pusch2004,ceratoscopelus warmingii,1998,morrocco,830317.4054208987
riaz2020,kreffichthys anderssoni,2016,kerguelen axis,446880.950064969
riaz2020,electrona antarctica,2016,kerguelen axis,446880.950064969
riaz2020,gymnoscopelus braueri,2016,kerguelen axis,446880.950064969
rodriguez2005,diogenichthys laternatus,1997,chile,89682.70665172895
rodriguez2005,triphoturus mexicanus,1997,chile,89682.70665172895
ruiz2024,electrona antarctica,2006,scotia sea,168962.63224694674
sameoto1988,benthosema glaciale,1977,canada,106132.12837120332
sassa 2023,diaphus fulgens,2008,south china sea,165663.44367579426
sassa2019,symbolophorus californiensis,2003,japan,175456.1989470985
sassa2020,myctophum orientale,2003,japan,158450.76078196245
saunders2014,electrona carlsbergi,2006,southern ocean,463910.10995980387
saunders2014,electrona antarctica,2006,southern ocean,463910.10995980387
saunders2015,protomyctophum tenisoni,2006,scotia sea,463910.10995980387
saunders2015,protomyctophum bolini,2006,scotia sea,463910.10995980387
saunders2015,protomyctophum choriodon,2006,scotia sea,463910.10995980387
saunders2018,protomyctophum tenisoni,2006,scotia sea,193928.17205768343
saunders2018,protomyctophum bolini,2006,scotia sea,193928.17205768343
saunders2018,kreffichthys anderssoni,2006,scotia sea,193928.17205768343
saunders2018,protomyctophum choriodon,2006,scotia sea,193928.17205768343
saunders2018,electrona carlsbergi,2006,scotia sea,193928.17205768343
saunders2018,electrona antarctica,2006,scotia sea,193928.17205768343
saunders2018,gymnoscopelus fraseri,2006,scotia sea,193928.17205768343
saunders2018,gymnoscopelus braueri,2006,scotia sea,193928.17205768343
saunders2018,gymnoscopelus nicholsi,2006,scotia sea,193928.17205768343
saunders2018,nannobrachium achirus,2006,scotia sea,193928.17205768343
stefanescu1992,lampanyctus crocodilus,1988,mediterranean,86940.99771770301
suntsov2008,diaphus theta,2006,us,76513.61754395148
suntsov2008,stenobrachius leucopsarus,2006,us,76513.61754395148
suntsov2008,tarletonbeania crenularis,2006,us,76513.61754395148
takagi2009,myctophum asperum,2002,japan,800950.3809094906
takagi2009,symbolophorus californiensis,2002,japan,800950.3809094906
takagi2009,ceratoscopelus warmingii,2002,japan,800950.3809094906
tanaka2013,diaphus garmani,2003,japan,69266.38808733918
tanaka2013,diaphus chrysorhynchus,2003,japan,69266.38808733918
turco2024,lobianchia gemellarii,2023,mediterranean,7326.992128913709
tyler1975,diaphus theta,1963,us,10666.447548094813
tyler1975,tarletonbeania crenularis,1963,us,10666.447548094813
tyler1975,stenobrachius leucopsarus,1963,us,10666.447548094813
uchikawa2008,lampanyctus jordani,1996,japan,42653.91948822847
vannoord2013,centrobranchus andreae,2007,marianas,28349.461139581053
vannoord2013,myctophum aurolaternatum,2007,marianas,28349.461139581053
vannoord2013,myctophum lychnobium,2007,marianas,28349.461139581053
vannoord2013,myctophum nitidulum,2007,marianas,28349.461139581053
vannoord2013,symbolophorus evermanni,2007,marianas,28349.461139581053
vannoord2016,gonichthys tenuiculus,2006,pacific,2040251.4991253216
vannoord2016,myctophum nitidulum,2006,pacific,2040251.4991253216
vannoord2016,symbolophorus reversus,2006,pacific,2040251.4991253216
vasiliadis2024,electrona antarctica,2006,scotia sea,229975.83606716915
watanabe2003,myctophum nitidulum,1961,japan,155386.28239608314
williams1985,kreffichthys anderssoni,1981,antarctica,673822.7774031146
williams1985,electrona antarctica,1981,antarctica,673822.7774031146
williams1985,gymnoscopelus braueri,1981,antarctica,673822.7774031146
williams1985,gymnoscopelus nicholsi,1981,antarctica,673822.7774031146
